n,m,$BSC_{TE}$,$BSC_{TM}$
1,-3,(1.878505711199541e-39+5.97296039063289e-39j),(3.861304541116865e-12+2.19653460543661e-12j)
1,-2,(1.878505711199541e-39+5.97296039063289e-39j),(3.861304541116865e-12+2.19653460543661e-12j)
1,-1,(1.878505711199541e-39+5.97296039063289e-39j),(3.861304541116865e-12+2.19653460543661e-12j)
1,0,(1.878505711199541e-39+5.97296039063289e-39j),(3.861304541116865e-12+2.19653460543661e-12j)
1,1,(1.878505711199541e-39+5.97296039063289e-39j),(3.861304541116865e-12+2.19653460543661e-12j)
1,2,(1.878505711199541e-39+5.97296039063289e-39j),(3.861304541116865e-12+2.19653460543661e-12j)
2,-3,(-1.807475335645507e-38-7.97140853395365e-40j),(8.923530976118717e-12+5.112779240997858e-12j)
2,-2,(-1.807475335645507e-38-7.97140853395365e-40j),(8.923530976118717e-12+5.112779240997858e-12j)
2,-1,(-1.807475335645507e-38-7.97140853395365e-40j),(8.923530976118717e-12+5.112779240997858e-12j)
2,0,(-1.807475335645507e-38-7.97140853395365e-40j),(8.923530976118717e-12+5.112779240997858e-12j)
2,1,(-1.807475335645507e-38-7.97140853395365e-40j),(8.923530976118717e-12+5.112779240997858e-12j)
2,2,(-1.807475335645507e-38-7.97140853395365e-40j),(8.923530976118717e-12+5.112779240997858e-12j)
3,-3,(1.7681015431810114e-38-3.358755570943027e-38j),(1.4868553793032944e-11+8.542337509516612e-12j)
3,-2,(1.7681015431810114e-38-3.358755570943027e-38j),(1.4868553793032944e-11+8.542337509516612e-12j)
3,-1,(1.7681015431810114e-38-3.358755570943027e-38j),(1.4868553793032944e-11+8.542337509516612e-12j)
3,0,(1.7681015431810114e-38-3.358755570943027e-38j),(1.4868553793032944e-11+8.542337509516612e-12j)
3,1,(1.7681015431810114e-38-3.358755570943027e-38j),(1.4868553793032944e-11+8.542337509516612e-12j)
3,2,(1.7681015431810114e-38-3.358755570943027e-38j),(1.4868553793032944e-11+8.542337509516612e-12j)
4,-3,(3.593200782038951e-38+5.468962550501388e-38j),(2.1398934945087e-11+1.2311282691770806e-11j)
4,-2,(3.593200782038951e-38+5.468962550501388e-38j),(2.1398934945087e-11+1.2311282691770806e-11j)
4,-1,(3.593200782038951e-38+5.468962550501388e-38j),(2.1398934945087e-11+1.2311282691770806e-11j)
4,0,(3.593200782038951e-38+5.468962550501388e-38j),(2.1398934945087e-11+1.2311282691770806e-11j)
4,1,(3.593200782038951e-38+5.468962550501388e-38j),(2.1398934945087e-11+1.2311282691770806e-11j)
4,2,(3.593200782038951e-38+5.468962550501388e-38j),(2.1398934945087e-11+1.2311282691770806e-11j)
5,-3,(-9.863212978540108e-38+4.3542173474146696e-39j),(2.8255576382867813e-11+1.6269440483521482e-11j)
5,-2,(-9.863212978540108e-38+4.3542173474146696e-39j),(2.8255576382867813e-11+1.6269440483521482e-11j)
5,-1,(-9.863212978540108e-38+4.3542173474146696e-39j),(2.8255576382867813e-11+1.6269440483521482e-11j)
5,0,(-9.863212978540108e-38+4.3542173474146696e-39j),(2.8255576382867813e-11+1.6269440483521482e-11j)
5,1,(-9.863212978540108e-38+4.3542173474146696e-39j),(2.8255576382867813e-11+1.6269440483521482e-11j)
5,2,(-9.863212978540108e-38+4.3542173474146696e-39j),(2.8255576382867813e-11+1.6269440483521482e-11j)
6,-3,(6.616247782440392e-38-1.1834660176251335e-37j),(3.520491839382981e-11+2.0281726243064804e-11j)
6,-2,(6.616247782440392e-38-1.1834660176251335e-37j),(3.520491839382981e-11+2.0281726243064804e-11j)
6,-1,(6.616247782440392e-38-1.1834660176251335e-37j),(3.520491839382981e-11+2.0281726243064804e-11j)
6,0,(6.616247782440392e-38-1.1834660176251335e-37j),(3.520491839382981e-11+2.0281726243064804e-11j)
6,1,(6.616247782440392e-38-1.1834660176251335e-37j),(3.520491839382981e-11+2.0281726243064804e-11j)
6,2,(6.616247782440392e-38-1.1834660176251335e-37j),(3.520491839382981e-11+2.0281726243064804e-11j)
7,-3,(8.306854845711304e-38+1.5281767893243769e-37j),(4.203502239980799e-11+2.422564799563903e-11j)
7,-2,(8.306854845711304e-38+1.5281767893243769e-37j),(4.203502239980799e-11+2.422564799563903e-11j)
7,-1,(8.306854845711304e-38+1.5281767893243769e-37j),(4.203502239980799e-11+2.422564799563903e-11j)
7,0,(8.306854845711304e-38+1.5281767893243769e-37j),(4.203502239980799e-11+2.422564799563903e-11j)
7,1,(8.306854845711304e-38+1.5281767893243769e-37j),(4.203502239980799e-11+2.422564799563903e-11j)
7,2,(8.306854845711304e-38+1.5281767893243769e-37j),(4.203502239980799e-11+2.422564799563903e-11j)
8,-3,(-2.1170872372906275e-37-1.4968310592365205e-38j),(4.8555568221687544e-11+2.799123869366328e-11j)
8,-2,(-2.1170872372906275e-37-1.4968310592365205e-38j),(4.8555568221687544e-11+2.799123869366328e-11j)
8,-1,(-2.1170872372906275e-37-1.4968310592365205e-38j),(4.8555568221687544e-11+2.799123869366328e-11j)
8,0,(-2.1170872372906275e-37-1.4968310592365205e-38j),(4.8555568221687544e-11+2.799123869366328e-11j)
8,1,(-2.1170872372906275e-37-1.4968310592365205e-38j),(4.8555568221687544e-11+2.799123869366328e-11j)
8,2,(-2.1170872372906275e-37-1.4968310592365205e-38j),(4.8555568221687544e-11+2.799123869366328e-11j)
9,-3,(1.4950352058093842e-37-1.9984902316407972e-37j),(5.45997255991929e-11+3.14821128515936e-11j)
9,-2,(1.4950352058093842e-37-1.9984902316407972e-37j),(5.45997255991929e-11+3.14821128515936e-11j)
9,-1,(1.4950352058093842e-37-1.9984902316407972e-37j),(5.45997255991929e-11+3.14821128515936e-11j)
9,0,(1.4950352058093842e-37-1.9984902316407972e-37j),(5.45997255991929e-11+3.14821128515936e-11j)
9,1,(1.4950352058093842e-37-1.9984902316407972e-37j),(5.45997255991929e-11+3.14821128515936e-11j)
9,2,(1.4950352058093842e-37-1.9984902316407972e-37j),(5.45997255991929e-11+3.14821128515936e-11j)
10,-3,(9.922579293489924e-38+2.677675820795807e-37j),(6.002641731178941e-11+3.461676333441478e-11j)
10,-2,(9.922579293489924e-38+2.677675820795807e-37j),(6.002641731178941e-11+3.461676333441478e-11j)
10,-1,(9.922579293489924e-38+2.677675820795807e-37j),(6.002641731178941e-11+3.461676333441478e-11j)
10,0,(9.922579293489924e-38+2.677675820795807e-37j),(6.002641731178941e-11+3.461676333441478e-11j)
10,1,(9.922579293489924e-38+2.677675820795807e-37j),(6.002641731178941e-11+3.461676333441478e-11j)
10,2,(9.922579293489924e-38+2.677675820795807e-37j),(6.002641731178941e-11+3.461676333441478e-11j)
11,-3,(-3.122782761602158e-37-6.983632967964688e-38j),(6.472236170058252e-11+3.732973625144937e-11j)
11,-2,(-3.122782761602158e-37-6.983632967964688e-38j),(6.472236170058252e-11+3.732973625144937e-11j)
11,-1,(-3.122782761602158e-37-6.983632967964688e-38j),(6.472236170058252e-11+3.732973625144937e-11j)
11,0,(-3.122782761602158e-37-6.983632967964688e-38j),(6.472236170058252e-11+3.732973625144937e-11j)
11,1,(-3.122782761602158e-37-6.983632967964688e-38j),(6.472236170058252e-11+3.732973625144937e-11j)
11,2,(-3.122782761602158e-37-6.983632967964688e-38j),(6.472236170058252e-11+3.732973625144937e-11j)
12,-3,(2.5190556231275094e-37-2.4672781785791193e-37j),(6.860314717601296e-11+3.957224959029714e-11j)
12,-2,(2.5190556231275094e-37-2.4672781785791193e-37j),(6.860314717601296e-11+3.957224959029714e-11j)
12,-1,(2.5190556231275094e-37-2.4672781785791193e-37j),(6.860314717601296e-11+3.957224959029714e-11j)
12,0,(2.5190556231275094e-37-2.4672781785791193e-37j),(6.860314717601296e-11+3.957224959029714e-11j)
12,1,(2.5190556231275094e-37-2.4672781785791193e-37j),(6.860314717601296e-11+3.957224959029714e-11j)
12,2,(2.5190556231275094e-37-2.4672781785791193e-37j),(6.860314717601296e-11+3.957224959029714e-11j)
13,-3,(7.550995348109852e-38+3.7531177359780287e-37j),(7.161369016154579e-11+4.1312456850402435e-11j)
13,-2,(7.550995348109852e-38+3.7531177359780287e-37j),(7.161369016154579e-11+4.1312456850402435e-11j)
13,-1,(7.550995348109852e-38+3.7531177359780287e-37j),(7.161369016154579e-11+4.1312456850402435e-11j)
13,0,(7.550995348109852e-38+3.7531177359780287e-37j),(7.161369016154579e-11+4.1312456850402435e-11j)
13,1,(7.550995348109852e-38+3.7531177359780287e-37j),(7.161369016154579e-11+4.1312456850402435e-11j)
13,2,(7.550995348109852e-38+3.7531177359780287e-37j),(7.161369016154579e-11+4.1312456850402435e-11j)
14,-3,(-3.8072750226208366e-37-1.5144016081532334e-37j),(7.372709529797018e-11+4.2534789111077463e-11j)
14,-2,(-3.8072750226208366e-37-1.5144016081532334e-37j),(7.372709529797018e-11+4.2534789111077463e-11j)
14,-1,(-3.8072750226208366e-37-1.5144016081532334e-37j),(7.372709529797018e-11+4.2534789111077463e-11j)
14,0,(-3.8072750226208366e-37-1.5144016081532334e-37j),(7.372709529797018e-11+4.2534789111077463e-11j)
14,1,(-3.8072750226208366e-37-1.5144016081532334e-37j),(7.372709529797018e-11+4.2534789111077463e-11j)
14,2,(-3.8072750226208366e-37-1.5144016081532334e-37j),(7.372709529797018e-11+4.2534789111077463e-11j)
15,-3,(3.5311299613175773e-37-2.491532480110112e-37j),(7.494299155081465e-11+4.3238994503385355e-11j)
15,-2,(3.5311299613175773e-37-2.491532480110112e-37j),(7.494299155081465e-11+4.3238994503385355e-11j)
15,-1,(3.5311299613175773e-37-2.491532480110112e-37j),(7.494299155081465e-11+4.3238994503385355e-11j)
15,0,(3.5311299613175773e-37-2.491532480110112e-37j),(7.494299155081465e-11+4.3238994503385355e-11j)
15,1,(3.5311299613175773e-37-2.491532480110112e-37j),(7.494299155081465e-11+4.3238994503385355e-11j)
15,2,(3.5311299613175773e-37-2.491532480110112e-37j),(7.494299155081465e-11+4.3238994503385355e-11j)
16,-3,(1.6209313329165552e-38+4.486581256889803e-37j),(7.528479111478746e-11+4.3438555963778447e-11j)
16,-2,(1.6209313329165552e-38+4.486581256889803e-37j),(7.528479111478746e-11+4.3438555963778447e-11j)
16,-1,(1.6209313329165552e-38+4.486581256889803e-37j),(7.528479111478746e-11+4.3438555963778447e-11j)
16,0,(1.6209313329165552e-38+4.486581256889803e-37j),(7.528479111478746e-11+4.3438555963778447e-11j)
16,1,(1.6209313329165552e-38+4.486581256889803e-37j),(7.528479111478746e-11+4.3438555963778447e-11j)
16,2,(1.6209313329165552e-38+4.486581256889803e-37j),(7.528479111478746e-11+4.3438555963778447e-11j)
17,-3,(-3.9324518420315075e-37-2.3722102735181366e-37j),(7.479662589457442e-11+4.3158922689349867e-11j)
17,-2,(-3.9324518420315075e-37-2.3722102735181366e-37j),(7.479662589457442e-11+4.3158922689349867e-11j)
17,-1,(-3.9324518420315075e-37-2.3722102735181366e-37j),(7.479662589457442e-11+4.3158922689349867e-11j)
17,0,(-3.9324518420315075e-37-2.3722102735181366e-37j),(7.479662589457442e-11+4.3158922689349867e-11j)
17,1,(-3.9324518420315075e-37-2.3722102735181366e-37j),(7.479662589457442e-11+4.3158922689349867e-11j)
17,2,(-3.9324518420315075e-37-2.3722102735181366e-37j),(7.479662589457442e-11+4.3158922689349867e-11j)
18,-3,(4.169787926290046e-37-2.007119074191709e-37j),(7.353989995567393e-11+4.243551981883952e-11j)
18,-2,(4.169787926290046e-37-2.007119074191709e-37j),(7.353989995567393e-11+4.243551981883952e-11j)
18,-1,(4.169787926290046e-37-2.007119074191709e-37j),(7.353989995567393e-11+4.243551981883952e-11j)
18,0,(4.169787926290046e-37-2.007119074191709e-37j),(7.353989995567393e-11+4.243551981883952e-11j)
18,1,(4.169787926290046e-37-2.007119074191709e-37j),(7.353989995567393e-11+4.243551981883952e-11j)
18,2,(4.169787926290046e-37-2.007119074191709e-37j),(7.353989995567393e-11+4.243551981883952e-11j)
19,-3,(-6.012366690215391e-38+4.558691530337041e-37j),(7.159018028297131e-11+4.1311953201966383e-11j)
19,-2,(-6.012366690215391e-38+4.558691530337041e-37j),(7.159018028297131e-11+4.1311953201966383e-11j)
19,-1,(-6.012366690215391e-38+4.558691530337041e-37j),(7.159018028297131e-11+4.1311953201966383e-11j)
19,0,(-6.012366690215391e-38+4.558691530337041e-37j),(7.159018028297131e-11+4.1311953201966383e-11j)
19,1,(-6.012366690215391e-38+4.558691530337041e-37j),(7.159018028297131e-11+4.1311953201966383e-11j)
19,2,(-6.012366690215391e-38+4.558691530337041e-37j),(7.159018028297131e-11+4.1311953201966383e-11j)
20,-3,(-3.4189181427308127e-37-2.9453042779608567e-37j),(6.903376277790817e-11+3.983802672206561e-11j)
20,-2,(-3.4189181427308127e-37-2.9453042779608567e-37j),(6.903376277790817e-11+3.983802672206561e-11j)
20,-1,(-3.4189181427308127e-37-2.9453042779608567e-37j),(6.903376277790817e-11+3.983802672206561e-11j)
20,0,(-3.4189181427308127e-37-2.9453042779608567e-37j),(6.903376277790817e-11+3.983802672206561e-11j)
20,1,(-3.4189181427308127e-37-2.9453042779608567e-37j),(6.903376277790817e-11+3.983802672206561e-11j)
20,2,(-3.4189181427308127e-37-2.9453042779608567e-37j),(6.903376277790817e-11+3.983802672206561e-11j)
21,-3,(4.212875585711981e-37-1.2094814252524592e-37j),(6.596465594129756e-11+3.8068000620188855e-11j)
21,-2,(4.212875585711981e-37-1.2094814252524592e-37j),(6.596465594129756e-11+3.8068000620188855e-11j)
21,-1,(4.212875585711981e-37-1.2094814252524592e-37j),(6.596465594129756e-11+3.8068000620188855e-11j)
21,0,(4.212875585711981e-37-1.2094814252524592e-37j),(6.596465594129756e-11+3.8068000620188855e-11j)
21,1,(4.212875585711981e-37-1.2094814252524592e-37j),(6.596465594129756e-11+3.8068000620188855e-11j)
21,2,(4.212875585711981e-37-1.2094814252524592e-37j),(6.596465594129756e-11+3.8068000620188855e-11j)
22,-3,(-1.2498914011830594e-37+4.0325057927406306e-37j),(6.248115572369256e-11+3.605861389410396e-11j)
22,-2,(-1.2498914011830594e-37+4.0325057927406306e-37j),(6.248115572369256e-11+3.605861389410396e-11j)
22,-1,(-1.2498914011830594e-37+4.0325057927406306e-37j),(6.248115572369256e-11+3.605861389410396e-11j)
22,0,(-1.2498914011830594e-37+4.0325057927406306e-37j),(6.248115572369256e-11+3.605861389410396e-11j)
22,1,(-1.2498914011830594e-37+4.0325057927406306e-37j),(6.248115572369256e-11+3.605861389410396e-11j)
22,2,(-1.2498914011830594e-37+4.0325057927406306e-37j),(6.248115572369256e-11+3.605861389410396e-11j)
23,-3,(-2.5711930566888195e-37-3.1146202575663246e-37j),(5.868281452234785e-11+3.3867334153577235e-11j)
23,-2,(-2.5711930566888195e-37-3.1146202575663246e-37j),(5.868281452234785e-11+3.3867334153577235e-11j)
23,-1,(-2.5711930566888195e-37-3.1146202575663246e-37j),(5.868281452234785e-11+3.3867334153577235e-11j)
23,0,(-2.5711930566888195e-37-3.1146202575663246e-37j),(5.868281452234785e-11+3.3867334153577235e-11j)
23,1,(-2.5711930566888195e-37-3.1146202575663246e-37j),(5.868281452234785e-11+3.3867334153577235e-11j)
23,2,(-2.5711930566888195e-37-3.1146202575663246e-37j),(5.868281452234785e-11+3.3867334153577235e-11j)
24,-3,(3.817051214220145e-37-4.215562881229281e-38j),(5.46669272228158e-11+3.155032876717936e-11j)
24,-2,(3.817051214220145e-37-4.215562881229281e-38j),(5.46669272228158e-11+3.155032876717936e-11j)
24,-1,(3.817051214220145e-37-4.215562881229281e-38j),(5.46669272228158e-11+3.155032876717936e-11j)
24,0,(3.817051214220145e-37-4.215562881229281e-38j),(5.46669272228158e-11+3.155032876717936e-11j)
24,1,(3.817051214220145e-37-4.215562881229281e-38j),(5.46669272228158e-11+3.155032876717936e-11j)
24,2,(3.817051214220145e-37-4.215562881229281e-38j),(5.46669272228158e-11+3.155032876717936e-11j)
25,-3,(-1.6437586756108964e-37+3.23452648523469e-37j),(5.0525463177384084e-11+2.916069336860582e-11j)
25,-2,(-1.6437586756108964e-37+3.23452648523469e-37j),(5.0525463177384084e-11+2.916069336860582e-11j)
25,-1,(-1.6437586756108964e-37+3.23452648523469e-37j),(5.0525463177384084e-11+2.916069336860582e-11j)
25,0,(-1.6437586756108964e-37+3.23452648523469e-37j),(5.0525463177384084e-11+2.916069336860582e-11j)
25,1,(-1.6437586756108964e-37+3.23452648523469e-37j),(5.0525463177384084e-11+2.916069336860582e-11j)
25,2,(-1.6437586756108964e-37+3.23452648523469e-37j),(5.0525463177384084e-11+2.916069336860582e-11j)
26,-3,(-1.6913205386162127e-37-2.951895694225602e-37j),(4.63422018060022e-11+2.6746797907141643e-11j)
26,-2,(-1.6913205386162127e-37-2.951895694225602e-37j),(4.63422018060022e-11+2.6746797907141643e-11j)
26,-1,(-1.6913205386162127e-37-2.951895694225602e-37j),(4.63422018060022e-11+2.6746797907141643e-11j)
26,0,(-1.6913205386162127e-37-2.951895694225602e-37j),(4.63422018060022e-11+2.6746797907141643e-11j)
26,1,(-1.6913205386162127e-37-2.951895694225602e-37j),(4.63422018060022e-11+2.6746797907141643e-11j)
26,2,(-1.6913205386162127e-37-2.951895694225602e-37j),(4.63422018060022e-11+2.6746797907141643e-11j)
27,-3,(3.1549284599663804e-37+1.9027573410455083e-38j),(4.219075768193226e-11+2.4351146109299204e-11j)
27,-2,(3.1549284599663804e-37+1.9027573410455083e-38j),(4.219075768193226e-11+2.4351146109299204e-11j)
27,-1,(3.1549284599663804e-37+1.9027573410455083e-38j),(4.219075768193226e-11+2.4351146109299204e-11j)
27,0,(3.1549284599663804e-37+1.9027573410455083e-38j),(4.219075768193226e-11+2.4351146109299204e-11j)
27,1,(3.1549284599663804e-37+1.9027573410455083e-38j),(4.219075768193226e-11+2.4351146109299204e-11j)
27,2,(3.1549284599663804e-37+1.9027573410455083e-38j),(4.219075768193226e-11+2.4351146109299204e-11j)
